Date,Time,Process,PowerShellCommand_Start,PowerShellCommand_Kill
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6136 -Force
2024-04-15,15:50:31.248024,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 15364 -Force
2024-04-15,15:49:30.203196,WidgetService.exe,Start-Process -FilePath 'WidgetService.exe' -NoNewWindow -PassThru,Stop-Process -Id 13244 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2272 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 5208 -Force
2024-04-15,15:50:31.248024,dllhost.exe,Start-Process -FilePath 'dllhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 17112 -Force
2024-04-15,15:49:30.203196,wininit.exe,Start-Process -FilePath 'wininit.exe' -NoNewWindow -PassThru,Stop-Process -Id 1428 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 12904 -Force
2024-04-15,15:50:31.248024,igfxEMN.exe,Start-Process -FilePath 'igfxEMN.exe' -NoNewWindow -PassThru,Stop-Process -Id 8208 -Force
2024-04-15,15:49:30.203196,sh.exe,Start-Process -FilePath 'sh.exe' -NoNewWindow -PassThru,Stop-Process -Id 21368 -Force
2024-04-15,15:50:31.248024,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6008 -Force
2024-04-15,15:50:31.248024,RuntimeBroker.exe,Start-Process -FilePath 'RuntimeBroker.exe' -NoNewWindow -PassThru,Stop-Process -Id 15840 -Force
2024-04-15,15:49:30.203196,unsecapp.exe,Start-Process -FilePath 'unsecapp.exe' -NoNewWindow -PassThru,Stop-Process -Id 6680 -Force
2024-04-15,15:50:31.248024,conhost.exe,Start-Process -FilePath 'conhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 21348 -Force
2024-04-15,15:50:31.248024,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 24680 -Force
2024-04-15,15:49:30.203196,System Idle Process,Start-Process -FilePath 'System Idle Process' -NoNewWindow -PassThru,Stop-Process -Id 0 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4780 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3828 -Force
2024-04-15,15:49:30.203196,TextInputHost.exe,Start-Process -FilePath 'TextInputHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4200 -Force
2024-04-15,15:49:30.203196,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 10132 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2336 -Force
2024-04-15,15:49:30.203196,python.exe,Start-Process -FilePath 'python.exe' -NoNewWindow -PassThru,Stop-Process -Id 6504 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4780 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 8900 -Force
2024-04-15,15:49:30.203196,wlanext.exe,Start-Process -FilePath 'wlanext.exe' -NoNewWindow -PassThru,Stop-Process -Id 6988 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 11596 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 7124 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3828 -Force
2024-04-15,15:49:30.203196,WUDFHost.exe,Start-Process -FilePath 'WUDFHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 1784 -Force
2024-04-15,15:50:31.248024,fontdrvhost.exe,Start-Process -FilePath 'fontdrvhost.exe' -NoNewWindow -PassThru,Stop-Process -Id 1760 -Force
2024-04-15,15:50:31.248024,StartMenuExperienceHost.exe,Start-Process -FilePath 'StartMenuExperienceHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 10012 -Force
2024-04-15,15:49:30.203196,msedgewebview2.exe,Start-Process -FilePath 'msedgewebview2.exe' -NoNewWindow -PassThru,Stop-Process -Id 21392 -Force
2024-04-15,15:50:31.248024,OSDUtility.exe,Start-Process -FilePath 'OSDUtility.exe' -NoNewWindow -PassThru,Stop-Process -Id 7628 -Force
2024-04-15,15:50:31.248024,python.exe,Start-Process -FilePath 'python.exe' -NoNewWindow -PassThru,Stop-Process -Id 20788 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 4460 -Force
2024-04-15,15:49:30.203196,msedge.exe,Start-Process -FilePath 'msedge.exe' -NoNewWindow -PassThru,Stop-Process -Id 4576 -Force
2024-04-15,15:49:30.203196,mysqld.exe,Start-Process -FilePath 'mysqld.exe' -NoNewWindow -PassThru,Stop-Process -Id 4940 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 7340 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8416 -Force
2024-04-15,15:49:30.203196,taskhostw.exe,Start-Process -FilePath 'taskhostw.exe' -NoNewWindow -PassThru,Stop-Process -Id 21288 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 1744 -Force
2024-04-15,15:50:31.248024,csrss.exe,Start-Process -FilePath 'csrss.exe' -NoNewWindow -PassThru,Stop-Process -Id 1436 -Force
2024-04-15,15:50:31.248024,warp-svc.exe,Start-Process -FilePath 'warp-svc.exe' -NoNewWindow -PassThru,Stop-Process -Id 5836 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3524 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 10032 -Force
2024-04-15,15:50:31.248024,LsaIso.exe,Start-Process -FilePath 'LsaIso.exe' -NoNewWindow -PassThru,Stop-Process -Id 1520 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 11936 -Force
2024-04-15,15:50:31.248024,sh.exe,Start-Process -FilePath 'sh.exe' -NoNewWindow -PassThru,Stop-Process -Id 20748 -Force
2024-04-15,15:50:31.248024,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 26668 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3920 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3524 -Force
2024-04-15,15:49:30.203196,Registry,Start-Process -FilePath 'Registry' -NoNewWindow -PassThru,Stop-Process -Id 148 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3292 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 22628 -Force
2024-04-15,15:49:30.203196,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 16492 -Force
2024-04-15,15:49:30.203196,LMS.exe,Start-Process -FilePath 'LMS.exe' -NoNewWindow -PassThru,Stop-Process -Id 4960 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3920 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3284 -Force
2024-04-15,15:49:30.203196,LocationNotificationWindows.exe,Start-Process -FilePath 'LocationNotificationWindows.exe' -NoNewWindow -PassThru,Stop-Process -Id 10080 -Force
2024-04-15,15:49:30.203196,mysqld.exe,Start-Process -FilePath 'mysqld.exe' -NoNewWindow -PassThru,Stop-Process -Id 5904 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3292 -Force
2024-04-15,15:49:30.203196,sihost.exe,Start-Process -FilePath 'sihost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6460 -Force
2024-04-15,15:50:31.248024,python.exe,Start-Process -FilePath 'python.exe' -NoNewWindow -PassThru,Stop-Process -Id 14772 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 3604 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 5576 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6396 -Force
2024-04-15,15:50:31.248024,CodeSetup-stable-e170252f762678dec6ca2cc69aba1570769a5d39.exe,Start-Process -FilePath 'CodeSetup-stable-e170252f762678dec6ca2cc69aba1570769a5d39.exe' -NoNewWindow -PassThru,Stop-Process -Id 884 -Force
2024-04-15,15:49:30.203196,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 19460 -Force
2024-04-15,15:50:31.248024,services.exe,Start-Process -FilePath 'services.exe' -NoNewWindow -PassThru,Stop-Process -Id 1500 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8480 -Force
2024-04-15,15:49:30.203196,IntelAudioService.exe,Start-Process -FilePath 'IntelAudioService.exe' -NoNewWindow -PassThru,Stop-Process -Id 4800 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6396 -Force
2024-04-15,15:50:31.248024,ShellExperienceHost.exe,Start-Process -FilePath 'ShellExperienceHost.exe' -NoNewWindow -PassThru,Stop-Process -Id 16232 -Force
2024-04-15,15:50:31.248024,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 8480 -Force
2024-04-15,15:49:30.203196,msedgewebview2.exe,Start-Process -FilePath 'msedgewebview2.exe' -NoNewWindow -PassThru,Stop-Process -Id 13720 -Force
2024-04-15,15:50:31.248024,powershell.exe,Start-Process -FilePath 'powershell.exe' -NoNewWindow -PassThru,Stop-Process -Id 2572 -Force
2024-04-15,15:50:31.248024,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 2200 -Force
2024-04-15,15:50:31.248024,Code.exe,Start-Process -FilePath 'Code.exe' -NoNewWindow -PassThru,Stop-Process -Id 13608 -Force
2024-04-15,15:50:31.248024,lsass.exe,Start-Process -FilePath 'lsass.exe' -NoNewWindow -PassThru,Stop-Process -Id 1536 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 2072 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 10836 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 7100 -Force
2024-04-15,15:50:31.248024,chrome.exe,Start-Process -FilePath 'chrome.exe' -NoNewWindow -PassThru,Stop-Process -Id 14420 -Force
2024-04-15,15:49:30.203196,Intel_PIE_Service.exe,Start-Process -FilePath 'Intel_PIE_Service.exe' -NoNewWindow -PassThru,Stop-Process -Id 7212 -Force
2024-04-15,15:49:30.203196,svchost.exe,Start-Process -FilePath 'svchost.exe' -NoNewWindow -PassThru,Stop-Process -Id 6352 -Force
